Rk,G,Date,H_A,Opp_Team,W_L,Tm,Opp,FG,FGA,FGper,3P,3PA,3Pper,FT,FTA,FTper,ORB,TRB,AST,STL,BLK,TOV,PF,Blank,Opp_FG,Opp_FGA,Opp_FGper,Opp_3P,Opp_3PA,Opp_3Pper,Opp_FT,Opp_FTA,Opp_FTper,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,nba_season,gamelog_team
1,1,2021-10-21,,MIL,W,137,95,51,96,.531,15,35,.429,20,31,.645,11,58,28,8,2,11,26,NA,32,84,.381,12,42,.286,19,29,.655,5,38,19,6,0,15,26,2022,MIA
2,2,2021-10-23,@,IND,L,91,102,35,91,.385,9,33,.273,12,14,.857,10,55,18,4,2,22,25,NA,38,97,.392,10,39,.256,16,21,.762,14,55,18,10,5,16,18,2022,MIA
3,3,2021-10-25,,ORL,W,107,90,41,87,.471,6,27,.222,19,19,1.000,9,42,28,10,2,10,19,NA,33,81,.407,12,44,.273,12,19,.632,6,39,21,7,6,16,22,2022,MIA
4,4,2021-10-27,@,BRK,W,106,93,38,96,.396,8,29,.276,22,26,.846,17,62,21,6,2,14,19,NA,33,85,.388,14,43,.326,13,14,.929,4,42,21,7,7,15,24,2022,MIA
5,5,2021-10-29,,CHO,W,114,99,43,91,.473,9,35,.257,19,19,1.000,16,60,23,6,3,17,20,NA,35,90,.389,13,37,.351,16,22,.727,11,37,21,8,6,11,17,2022,MIA
6,6,2021-10-30,@,MEM,W,129,103,46,88,.523,21,37,.568,16,19,.842,11,50,31,12,2,18,17,NA,34,88,.386,16,50,.320,19,21,.905,8,32,26,14,7,14,17,2022,MIA
7,7,2021-11-02,@,DAL,W,125,110,43,83,.518,13,25,.520,26,30,.867,9,45,25,6,5,6,25,NA,37,84,.440,14,42,.333,22,31,.710,11,41,17,1,3,9,21,2022,MIA
8,8,2021-11-04,,BOS,L,78,95,28,81,.346,9,41,.220,13,19,.684,13,45,18,8,0,18,19,NA,31,78,.397,16,41,.390,17,20,.850,11,46,16,7,4,16,16,2022,MIA
9,9,2021-11-06,,UTA,W,118,115,47,78,.603,11,21,.524,13,17,.765,7,36,30,3,1,14,18,NA,43,83,.518,15,45,.333,14,19,.737,7,31,26,10,3,6,19,2022,MIA
10,10,2021-11-08,@,DEN,L,96,113,31,78,.397,13,36,.361,21,25,.840,6,37,22,3,3,13,20,NA,42,91,.462,12,41,.293,17,24,.708,12,49,28,7,5,9,23,2022,MIA
11,11,2021-11-10,@,LAL,L,117,120,40,96,.417,10,37,.270,27,35,.771,11,47,26,14,2,14,25,NA,46,92,.500,18,38,.474,10,16,.625,9,50,26,5,6,22,27,2022,MIA
12,12,2021-11-11,@,LAC,L,109,112,43,97,.443,9,41,.220,14,17,.824,18,50,18,9,4,15,21,NA,43,91,.473,11,37,.297,15,17,.882,9,42,20,9,9,12,14,2022,MIA
13,13,2021-11-13,@,UTA,W,111,105,42,85,.494,13,33,.394,14,16,.875,13,48,23,6,3,19,25,NA,35,85,.412,17,53,.321,18,25,.720,12,38,23,13,2,16,19,2022,MIA
14,14,2021-11-15,@,OKC,W,103,90,37,82,.451,18,40,.450,11,13,.846,8,45,22,11,5,17,13,NA,34,83,.410,15,41,.366,7,10,.700,9,42,26,6,10,20,15,2022,MIA
15,15,2021-11-17,,NOP,W,113,98,42,87,.483,15,40,.375,14,17,.824,10,39,29,6,2,10,25,NA,33,75,.440,10,35,.286,22,28,.786,10,38,18,6,3,16,21,2022,MIA
16,16,2021-11-18,,WAS,W,112,97,41,82,.500,10,26,.385,20,24,.833,7,41,27,10,1,6,13,NA,38,77,.494,15,36,.417,6,10,.600,5,37,25,4,3,17,19,2022,MIA
17,17,2021-11-20,@,WAS,L,100,103,38,81,.469,7,27,.259,17,20,.850,10,37,21,7,3,12,26,NA,36,74,.486,11,30,.367,20,23,.870,9,35,22,6,2,19,19,2022,MIA
18,18,2021-11-23,@,DET,W,100,92,35,76,.461,9,29,.310,21,29,.724,12,51,22,9,3,16,19,NA,35,84,.417,10,38,.263,12,14,.857,9,35,22,7,1,14,23,2022,MIA
19,19,2021-11-24,@,MIN,L,101,113,33,74,.446,15,42,.357,20,29,.690,4,40,25,6,2,21,25,NA,38,93,.409,18,55,.327,19,21,.905,15,52,24,10,7,16,26,2022,MIA
20,20,2021-11-27,@,CHI,W,107,104,37,86,.430,14,40,.350,19,22,.864,9,36,23,13,1,10,19,NA,38,81,.469,11,39,.282,17,21,.810,10,47,22,6,4,22,20,2022,MIA
21,21,2021-11-29,,DEN,L,111,120,43,91,.473,15,44,.341,10,15,.667,12,39,32,2,1,9,18,NA,43,74,.581,18,35,.514,16,21,.762,5,35,32,2,1,13,18,2022,MIA
22,22,2021-12-01,,CLE,L,85,111,32,85,.376,12,37,.324,9,13,.692,9,28,21,8,4,11,17,NA,37,68,.544,16,31,.516,21,23,.913,6,46,27,8,14,20,15,2022,MIA
23,23,2021-12-03,@,IND,W,113,104,43,81,.531,16,34,.471,11,13,.846,9,38,24,5,6,13,22,NA,35,80,.438,9,36,.250,25,33,.758,12,39,20,7,3,12,19,2022,MIA
24,24,2021-12-04,@,MIL,L,102,124,34,84,.405,17,43,.395,17,24,.708,9,39,29,6,5,14,17,NA,44,98,.449,18,50,.360,18,20,.900,19,57,32,3,6,14,22,2022,MIA
25,25,2021-12-06,,MEM,L,90,105,35,76,.461,6,22,.273,14,17,.824,7,36,26,11,6,23,19,NA,38,89,.427,13,33,.394,16,21,.762,16,47,26,11,6,19,18,2022,MIA
26,26,2021-12-08,,MIL,W,113,104,40,77,.519,22,47,.468,11,12,.917,6,42,32,6,6,20,23,NA,36,85,.424,12,39,.308,20,27,.741,12,41,18,11,4,18,20,2022,MIA
27,27,2021-12-11,,CHI,W,118,92,46,93,.495,19,43,.442,7,9,.778,12,50,37,8,6,8,21,NA,31,83,.373,17,40,.425,13,20,.650,7,34,22,5,3,14,15,2022,MIA
28,28,2021-12-13,@,CLE,L,94,105,38,85,.447,13,40,.325,5,9,.556,11,39,26,4,4,14,15,NA,36,81,.444,16,36,.444,17,18,.944,8,42,24,6,1,12,16,2022,MIA
29,29,2021-12-15,@,PHI,W,101,96,35,78,.449,18,44,.409,13,17,.765,9,44,25,5,3,16,18,NA,35,79,.443,12,37,.324,14,17,.824,4,35,26,9,5,11,19,2022,MIA
30,30,2021-12-17,@,ORL,W,115,105,41,82,.500,19,35,.543,14,19,.737,14,46,25,5,5,15,14,NA,43,89,.483,11,32,.344,8,10,.800,9,36,23,10,5,11,19,2022,MIA
31,31,2021-12-19,@,DET,L,90,100,28,74,.378,13,43,.302,21,33,.636,8,39,23,4,3,13,27,NA,35,75,.467,8,32,.250,22,30,.733,6,47,24,4,2,13,28,2022,MIA
32,32,2021-12-21,,IND,W,125,96,47,95,.495,22,49,.449,9,11,.818,15,53,30,5,5,11,21,NA,31,87,.356,11,31,.355,23,28,.821,11,42,22,6,3,11,13,2022,MIA
33,33,2021-12-23,,DET,W,115,112,43,88,.489,12,32,.375,17,19,.895,6,43,23,4,0,13,25,NA,36,80,.450,18,40,.450,22,25,.880,6,43,23,9,5,16,25,2022,MIA
34,34,2021-12-26,,ORL,W,93,83,36,89,.404,10,34,.294,11,18,.611,20,51,28,7,1,13,19,NA,31,72,.431,10,32,.313,11,17,.647,8,43,17,6,4,18,19,2022,MIA
35,35,2021-12-28,,WAS,W,119,112,41,92,.446,16,34,.471,21,23,.913,14,42,26,14,5,7,13,NA,42,85,.494,17,42,.405,11,14,.786,13,47,27,5,3,18,20,2022,MIA
36,36,2021-12-31,@,HOU,W,120,110,40,86,.465,14,33,.424,26,31,.839,11,43,21,7,6,14,16,NA,41,93,.441,14,42,.333,14,17,.824,15,46,21,9,4,18,27,2022,MIA
37,37,2022-01-02,@,SAC,L,113,115,46,105,.438,9,33,.273,12,12,1.000,18,49,26,4,3,9,18,NA,40,78,.513,13,34,.382,22,27,.815,7,39,31,3,2,16,18,2022,MIA
38,38,2022-01-03,@,GSW,L,108,115,37,90,.411,17,42,.405,17,19,.895,11,49,24,5,2,18,13,NA,45,92,.489,14,38,.368,11,13,.846,7,43,39,11,6,12,17,2022,MIA
39,39,2022-01-05,@,POR,W,115,109,37,82,.451,19,41,.463,22,29,.759,14,50,29,3,3,11,21,NA,33,78,.423,15,38,.395,28,36,.778,8,36,18,8,4,5,23,2022,MIA
40,40,2022-01-08,@,PHO,W,123,100,44,88,.500,22,44,.500,13,15,.867,11,49,33,9,1,14,18,NA,30,79,.380,14,34,.412,26,29,.897,6,35,24,10,1,15,14,2022,MIA
41,41,2022-01-12,@,ATL,W,115,91,43,90,.478,16,45,.356,13,14,.929,10,54,28,7,4,14,20,NA,31,82,.378,13,45,.289,16,23,.696,6,37,20,8,3,14,15,2022,MIA
42,42,2022-01-14,,ATL,W,124,118,41,77,.532,14,30,.467,28,30,.933,9,37,30,6,5,15,27,NA,38,79,.481,16,38,.421,26,30,.867,9,34,26,6,6,15,27,2022,MIA
43,43,2022-01-15,,PHI,L,98,109,33,86,.384,9,35,.257,23,30,.767,12,43,24,10,4,10,18,NA,40,79,.506,13,32,.406,16,21,.762,6,43,24,5,5,15,22,2022,MIA
44,44,2022-01-17,,TOR,W,104,99,38,83,.458,9,24,.375,19,22,.864,13,49,20,11,8,12,18,NA,37,90,.411,13,36,.361,12,17,.706,15,45,24,9,5,11,21,2022,MIA
45,45,2022-01-19,,POR,W,104,92,37,80,.463,12,35,.343,18,25,.720,9,43,24,12,6,14,15,NA,33,81,.407,14,46,.304,12,16,.750,10,43,19,7,6,16,22,2022,MIA
